,CPI,Core_CPI,Unemployment,GDP,Industrial_Production,Retail_Sales,Housing_Starts,Consumer_Sentiment,VIX,Inflation_YoY,Core_Inflation_YoY
2010-04-27,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,22.81,0.0,0.0
2010-04-28,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,21.08,0.0,0.0
2010-04-29,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,18.44,0.0,0.0
2010-04-30,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,22.05,0.0,0.0
2010-05-01,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,22.05,-0.05197720362644098,0.06339948012425989
2010-05-03,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,20.19,-0.05197720362644098,0.06339948012425989
2010-05-04,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,23.84,-0.05197720362644098,0.06339948012425989
2010-05-05,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,24.91,-0.05197720362644098,0.06339948012425989
2010-05-06,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,32.8,-0.05197720362644098,0.06339948012425989
2010-05-07,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,40.95,-0.05197720362644098,0.06339948012425989
2010-05-10,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,28.84,-0.05197720362644098,0.06339948012425989
2010-05-11,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,28.32,-0.05197720362644098,0.06339948012425989
2010-05-12,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,25.52,-0.05197720362644098,0.06339948012425989
2010-05-13,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,26.68,-0.05197720362644098,0.06339948012425989
2010-05-14,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,31.24,-0.05197720362644098,0.06339948012425989
2010-05-17,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,30.84,-0.05197720362644098,0.06339948012425989
2010-05-18,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,33.55,0.0,0.0
2010-05-19,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,35.32,0.0,0.0
2010-05-20,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,45.79,0.0,0.0
2010-05-21,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,40.1,0.0,0.0
2010-05-24,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,38.32,0.0,0.0
2010-05-25,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,34.61,0.0,0.0
2010-05-26,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,35.02,0.0,0.0
2010-05-27,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,29.68,0.0,0.0
2010-05-28,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,32.07,0.0,0.0
2010-05-31,217.29,220.962,9.6,16743.162,91.7014,354068.0,583.0,73.6,32.07,0.0,0.0
2010-06-01,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,35.54,-0.041879515854381655,0.10499542907829174
2010-06-02,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,30.17,-0.041879515854381655,0.10499542907829174
2010-06-03,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,29.46,-0.041879515854381655,0.10499542907829174
2010-06-04,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,35.48,-0.041879515854381655,0.10499542907829174
2010-06-07,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,36.57,-0.041879515854381655,0.10499542907829174
2010-06-08,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,33.7,-0.041879515854381655,0.10499542907829174
2010-06-09,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,33.73,-0.041879515854381655,0.10499542907829174
2010-06-10,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,30.57,-0.041879515854381655,0.10499542907829174
2010-06-11,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,28.79,-0.041879515854381655,0.10499542907829174
2010-06-14,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,28.58,-0.041879515854381655,0.10499542907829174
2010-06-15,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,25.87,-0.041879515854381655,0.10499542907829174
2010-06-16,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,25.92,-0.041879515854381655,0.10499542907829174
2010-06-17,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,25.05,0.0,0.0
2010-06-18,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,23.95,0.0,0.0
2010-06-21,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,24.88,0.0,0.0
2010-06-22,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,27.05,0.0,0.0
2010-06-23,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,26.91,0.0,0.0
2010-06-24,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,29.74,0.0,0.0
2010-06-25,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,28.53,0.0,0.0
2010-06-28,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,29.0,0.0,0.0
2010-06-29,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,34.13,0.0,0.0
2010-06-30,217.199,221.194,9.4,16743.162,91.9033,353647.0,536.0,76.0,34.54,0.0,0.0
2010-07-01,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,32.86,0.18692535416828804,0.07640351908280163
2010-07-02,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,30.12,0.18692535416828804,0.07640351908280163
2010-07-05,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,30.12,0.18692535416828804,0.07640351908280163
2010-07-06,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,29.65,0.18692535416828804,0.07640351908280163
2010-07-07,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,26.84,0.18692535416828804,0.07640351908280163
2010-07-08,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,25.71,0.18692535416828804,0.07640351908280163
2010-07-09,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,24.98,0.18692535416828804,0.07640351908280163
2010-07-12,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,24.43,0.18692535416828804,0.07640351908280163
2010-07-13,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,24.56,0.18692535416828804,0.07640351908280163
2010-07-14,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,24.89,0.18692535416828804,0.07640351908280163
2010-07-15,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,25.14,0.18692535416828804,0.07640351908280163
2010-07-16,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,26.25,0.18692535416828804,0.07640351908280163
2010-07-19,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,25.97,0.0,0.0
2010-07-20,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,23.93,0.0,0.0
2010-07-21,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,25.64,0.0,0.0
2010-07-22,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,24.63,0.0,0.0
2010-07-23,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,23.47,0.0,0.0
2010-07-26,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,22.73,0.0,0.0
2010-07-27,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,23.19,0.0,0.0
2010-07-28,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,24.25,0.0,0.0
2010-07-29,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,24.13,0.0,0.0
2010-07-30,217.605,221.363,9.4,16872.266,92.2549,354717.0,546.0,67.8,23.5,0.0,0.0
2010-08-01,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,23.5,0.14613634796996067,0.06595501506574397
2010-08-02,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,22.01,0.14613634796996067,0.06595501506574397
2010-08-03,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,22.63,0.14613634796996067,0.06595501506574397
2010-08-04,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,22.21,0.14613634796996067,0.06595501506574397
2010-08-05,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,22.1,0.14613634796996067,0.06595501506574397
2010-08-06,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,21.74,0.14613634796996067,0.06595501506574397
2010-08-09,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,22.14,0.14613634796996067,0.06595501506574397
2010-08-10,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,22.37,0.14613634796996067,0.06595501506574397
2010-08-11,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,25.39,0.14613634796996067,0.06595501506574397
2010-08-12,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,25.73,0.14613634796996067,0.06595501506574397
2010-08-13,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,26.24,0.14613634796996067,0.06595501506574397
2010-08-16,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,26.1,0.14613634796996067,0.06595501506574397
2010-08-17,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,24.33,0.0,0.0
2010-08-18,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,24.59,0.0,0.0
2010-08-19,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,26.44,0.0,0.0
2010-08-20,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,25.49,0.0,0.0
2010-08-23,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,25.66,0.0,0.0
2010-08-24,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,27.46,0.0,0.0
2010-08-25,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,26.7,0.0,0.0
2010-08-26,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,27.37,0.0,0.0
2010-08-27,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,24.45,0.0,0.0
2010-08-30,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,27.21,0.0,0.0
2010-08-31,217.923,221.509,9.5,16872.266,92.5936,356448.0,599.0,68.9,26.05,0.0,0.0
2010-09-01,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,23.89,0.1615249422961318,0.09119268291581939
2010-09-02,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,23.19,0.1615249422961318,0.09119268291581939
2010-09-03,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,21.31,0.1615249422961318,0.09119268291581939
2010-09-06,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,21.31,0.1615249422961318,0.09119268291581939
2010-09-07,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,23.8,0.1615249422961318,0.09119268291581939
2010-09-08,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,23.25,0.1615249422961318,0.09119268291581939
2010-09-09,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,22.81,0.1615249422961318,0.09119268291581939
2010-09-10,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,21.99,0.1615249422961318,0.09119268291581939
2010-09-13,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,21.21,0.1615249422961318,0.09119268291581939
2010-09-14,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,21.56,0.1615249422961318,0.09119268291581939
2010-09-15,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,22.1,0.1615249422961318,0.09119268291581939
2010-09-16,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,21.72,0.1615249422961318,0.09119268291581939
2010-09-17,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,22.01,0.0,0.0
2010-09-20,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,21.5,0.0,0.0
2010-09-21,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,22.35,0.0,0.0
2010-09-22,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,22.51,0.0,0.0
2010-09-23,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,23.87,0.0,0.0
2010-09-24,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,21.71,0.0,0.0
2010-09-27,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,22.54,0.0,0.0
2010-09-28,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,22.6,0.0,0.0
2010-09-29,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,23.25,0.0,0.0
2010-09-30,218.275,221.711,9.5,16872.266,92.8533,359359.0,594.0,68.2,23.7,0.0,0.0
2010-10-01,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,22.5,0.348184629481163,0.05367347583113968
2010-10-04,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,23.53,0.348184629481163,0.05367347583113968
2010-10-05,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,21.76,0.348184629481163,0.05367347583113968
2010-10-06,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,21.49,0.348184629481163,0.05367347583113968
2010-10-07,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,21.56,0.348184629481163,0.05367347583113968
2010-10-08,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,20.71,0.348184629481163,0.05367347583113968
2010-10-11,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,18.96,0.348184629481163,0.05367347583113968
2010-10-12,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,18.93,0.348184629481163,0.05367347583113968
2010-10-13,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,19.07,0.348184629481163,0.05367347583113968
2010-10-14,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,19.88,0.348184629481163,0.05367347583113968
2010-10-15,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,19.03,0.348184629481163,0.05367347583113968
2010-10-18,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,19.09,0.348184629481163,0.05367347583113968
2010-10-19,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,20.63,0.0,0.0
2010-10-20,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,19.79,0.0,0.0
2010-10-21,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,19.27,0.0,0.0
2010-10-22,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,18.78,0.0,0.0
2010-10-25,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,19.85,0.0,0.0
2010-10-26,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,20.22,0.0,0.0
2010-10-27,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,20.71,0.0,0.0
2010-10-28,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,20.88,0.0,0.0
2010-10-29,219.035,221.83,9.4,16960.864,92.6033,363469.0,543.0,67.7,21.2,0.0,0.0
2010-11-01,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,21.83,0.25338416234848005,0.14380381373122475
2010-11-02,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,21.57,0.25338416234848005,0.14380381373122475
2010-11-03,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,19.56,0.25338416234848005,0.14380381373122475
2010-11-04,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,18.52,0.25338416234848005,0.14380381373122475
2010-11-05,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,18.26,0.25338416234848005,0.14380381373122475
2010-11-08,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,18.29,0.25338416234848005,0.14380381373122475
2010-11-09,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,19.08,0.25338416234848005,0.14380381373122475
2010-11-10,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,18.47,0.25338416234848005,0.14380381373122475
2010-11-11,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,18.64,0.25338416234848005,0.14380381373122475
2010-11-12,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,20.61,0.25338416234848005,0.14380381373122475
2010-11-15,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,20.2,0.25338416234848005,0.14380381373122475
2010-11-16,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,22.58,0.25338416234848005,0.14380381373122475
2010-11-17,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,21.76,0.0,0.0
2010-11-18,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,18.75,0.0,0.0
2010-11-19,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,18.04,0.0,0.0
2010-11-22,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,18.37,0.0,0.0
2010-11-23,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,20.63,0.0,0.0
2010-11-24,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,19.56,0.0,0.0
2010-11-25,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,19.56,0.0,0.0
2010-11-26,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,22.22,0.0,0.0
2010-11-29,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,21.53,0.0,0.0
2010-11-30,219.59,222.149,9.8,16960.864,92.6686,367051.0,545.0,71.6,23.54,0.0,0.0
2010-12-01,220.472,222.343,9.3,16960.864,93.5916,369139.0,539.0,74.5,21.36,0.4016576346828282,0.08732877483130785
2010-12-02,220.472,222.343,9.3,16960.864,93.5916,369139.0,539.0,74.5,19.39,0.4016576346828282,0.08732877483130785
2010-12-03,220.472,222.343,9.3,16960.864,93.5916,369139.0,539.0,74.5,18.01,0.4016576346828282,0.08732877483130785
2010-12-06,220.472,222.343,9.3,16960.864,93.5916,369139.0,539.0,74.5,18.02,0.4016576346828282,0.08732877483130785
2010-12-07,220.472,222.343,9.3,16960.864,93.5916,369139.0,539.0,74.5,17.99,0.4016576346828282,0.08732877483130785
2010-12-08,220.472,222.343,9.3,16960.864,93.5916,369139.0,539.0,74.5,17.74,0.4016576346828282,0.08732877483130785
2010-12-09,220.472,222.343,9.3,16960.864,93.5916,369139.0,539.0,74.5,17.25,0.4016576346828282,0.08732877483130785
2010-12-10,220.472,222.343,9.3,16960.864,93.5916,369139.0,539.0,74.5,17.61,0.4016576346828282,0.08732877483130785
2010-12-13,220.472,222.343,9.3,16960.864,93.5916,369139.0,539.0,74.5,17.55,0.4016576346828282,0.08732877483130785
2010-12-14,220.472,222.343,9.3,16960.864,93.5916,369139.0,539.0,74.5,17.61,0.4016576346828282,0.08732877483130785
2010-12-15,220.472,222.343,9.3,16960.864,93.5916,369139.0,539.0,74.5,17.94,0.4016576346828282,0.08732877483130785
2010-12-16,220.472,222.343,9.3,16960.864,93.5916,369139.0,539.0,74.5,17.39,0.4016576346828282,0.08732877483130785
2010-12-17,220.472,222.343,9.3,16960.864,93.5916,369139.0,539.0,74.5,16.11,0.0,0.0
2010-12-20,220.472,222.343,9.3,16960.864,93.5916,369139.0,539.0,74.5,16.41,0.0,0.0
2010-12-21,220.472,222.343,9.3,16960.864,93.5916,369139.0,539.0,74.5,16.49,0.0,0.0
